;cell_id;cell_type;numb_events;wp_avg;wp_amplitude_pre;wp_amplitude_post;vm_avg;vm_amplitude_pre;vm_amplitude_post;ap_avg;ap_psth;ap_fr_pre;ap_fr_post;delta_wp;delta_vm;delta_ap
11;SC908_1;EXC;45;"[12.85956933 14.49465397 15.8532162  15.88801672 13.89231795 12.27995749
 11.84177159 12.92319157 14.12242013 15.52418549 17.36156386 17.93286368
 14.68205445 12.20780689 13.37211845 14.47284323 15.74635744 16.20471314
 16.1428082  15.74993948 14.58221151 13.003973   12.61319655 12.96279263
 13.73540064 14.81429944 14.82054444 12.52666557 12.04586646 13.89521668
 15.58464937 14.51389562 11.65707935 10.32513214 10.55977825 11.80462441
 13.55561216 14.1154578  13.35343905 12.76081595]";12.791835194534723;15.347014369988143;"[-0.06401729 -0.06402125 -0.06402285 ... -0.06237319 -0.06237292
 -0.06237472]";-64.07659235624514;-61.505702399811014;[0. 0. 0. ... 0. 0. 0.];"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]";0.0;0.0;2.5551791754534197;2.5708899564341294;0.0
12;SC909_1;EXC;17;"[19.63551942 20.10851261 17.93344783 15.52289323 14.81144051 17.28980027
 19.77862322 19.57624704 20.85168089 22.79491902 19.71557454 18.82286579
 17.74148609 15.8104688  17.2505392  21.18022558 24.39233181 21.78422445
 16.43904326 16.04383491 19.52835278 24.68334463 27.92935412 27.54239981
 23.79351135 19.20703359 17.93714689 19.5702007  20.80017627 20.45661435
 18.62644805 16.55808    15.31141125 16.74406745 18.62338114 20.8863723
 22.56380157 22.74152286 20.58132055 17.11977772]";19.37408785567564;19.23741772346247;"[-0.06363346 -0.06364871 -0.06364651 ... -0.06304357 -0.06303364
 -0.06302996]";-62.87906095433668;-61.05082761969219;[0. 0. 0. ... 0. 0. 0.];"[ 0.          0.          0.          0.          0.          0.
  0.          5.88235294  5.88235294  0.          5.88235294  0.
  5.88235294  0.          5.88235294  0.          0.          0.
  0.          0.          0.          0.          5.88235294  0.
  5.88235294  0.          0.          5.88235294  0.          0.
  0.          5.88235294 11.76470588  5.88235294  0.          0.
  0.          0.          0.          0.        ]";2.355296472943532;1.7655886766912865;-0.13667013221316893;1.8282333346444872;-0.5897077962522455
13;SC910_1;EXC;31;"[ 7.06387211  5.44772144  4.14355794  4.02095203  4.56729891  5.13656555
  6.02309959  7.94792386 11.55063965 16.57191373 20.9704862  22.31810563
 17.66556131 11.77535597 11.86332497 12.79300949 12.63747194 12.17812721
 10.77937598  9.79005616 11.3604316  14.59852938 17.84028125 19.51840068
 17.27555939 12.47683716  9.67666397  9.93814197 10.30850002 10.14033321
  9.36545216  9.49230539 11.42810279 13.55707605 14.85455295 15.07575832
 14.25125199 12.68490279 11.31039949 10.5243434 ]";7.664557162351131;14.77564652187108;"[-0.06426603 -0.06426643 -0.06426331 ... -0.05916169 -0.05916724
 -0.05916694]";-63.94962694549389;-56.575290770385195;[0. 0. 0. ... 0. 0. 0.];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         3.22580645 0.         3.22580645
 0.         0.         0.         0.         3.22580645 0.
 0.         0.         0.         3.22580645 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]";0.0;0.64548403233875;7.111089359519949;7.374336175108695;0.64548403233875
14;SC911_1;EXC;20;"[20.82533332 21.90294032 21.83399937 21.49440839 22.31197269 21.07598502
 19.30127436 18.43567262 19.58129427 22.25987389 25.59874872 27.57003854
 25.48611763 19.75733991 20.34757854 22.19177429 22.70795688 22.60445014
 21.50909798 20.0434339  20.26556545 20.348194   20.82225882 20.98890309
 20.67747658 19.87324693 19.51225794 18.96569312 18.00046568 19.12908663
 20.20131036 20.58857273 19.31391737 17.13067801 16.60066013 17.58574965
 18.63697371 20.29064678 20.94307008 20.26842312]";19.5985565662384;23.08590029229058;"[-0.05915875 -0.05915453 -0.05916812 ... -0.05561859 -0.05562
 -0.05560469]";-55.774917104604604;-44.96805009150454;[0. 0. 0. ... 0. 0. 0.];"[  0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   5. 175.  45.  10.
  15.  15.   5.   5.   5.   0.   0.  10.   5.   5.   0.   5.  20.   0.
   5.   5.  15.   5.   0.   5.   5.   0.   5.  10.  15.   5.]";0.0;28.014007003501757;3.487343726052181;10.806867013100067;28.014007003501757
15;SC912_1;EXC;43;"[25.46338184 25.48230415 22.16595877 17.84581647 16.28118195 16.91185283
 19.46418965 23.99267062 28.49116683 30.97502062 28.86494265 26.93122113
 25.03552855 21.75467422 20.375132   21.35425434 23.31356822 26.49219018
 29.11589914 29.6968114  27.62908791 24.2218494  21.54490496 20.88679389
 21.97863568 22.77610051 22.6557551  22.17102999 22.9089712  24.44463067
 26.15706014 28.12576019 28.3688387  26.95061056 25.86630568 25.09280095
 22.50920205 20.57380434 19.90120615 19.11368132]";22.21496998099393;24.804156713855352;"[-0.06125298 -0.06125407 -0.06125589 ... -0.05808001 -0.05808038
 -0.05808031]";-61.0454376614987;-53.925328434566126;[0. 0. 0. ... 0. 0. 0.];"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]";0.0;0.0;2.589186732861421;7.120109226932577;0.0
16;SC913_1;EXC;18;"[15.96407687 15.68502433 15.60054332 15.5424228  14.74218694 13.89758957
 13.11010405 13.74437889 15.68304129 19.37845188 24.31538442 26.74998957
 23.89289358 19.37051821 18.43056743 18.90947489 19.1316111  18.23062863
 18.08882757 17.26082477 17.37329451 18.13909365 19.5555554  20.82884168
 20.77033538 20.02109295 19.73156011 20.35221848 19.42155403 16.56193439
 15.48617431 16.59737935 18.04853468 17.80426192 16.83849968 17.40651746
 18.6103339  19.41456618 18.71914736 17.64679775]";14.108778449694313;20.791099490059747;"[-0.06017309 -0.06018056 -0.06019965 ... -0.05675885 -0.0567592
 -0.05675191]";-61.226507062618175;-54.1205105156745;[0. 0. 0. ... 0. 0. 0.];"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  5.55555556 16.66666667 11.11111111 11.11111111 16.66666667  5.55555556
 16.66666667  5.55555556  5.55555556  0.          5.55555556 11.11111111
  0.         22.22222222  0.         11.11111111  0.          5.55555556
  0.          5.55555556  0.          0.          0.          0.
  5.55555556  5.55555556  0.          5.55555556]";0.0;8.893335556667223;6.682321040365434;7.105996546943672;8.893335556667223
17;SC914_1;EXC;13;"[ 4.53153846  5.26076923  6.92153846  6.95692308  9.28615385  9.95923077
  8.43307692  7.12461538 10.05692308 17.43       22.41384615 24.74923077
 14.45923077  5.48461538  6.69538462 10.75384615 14.25307692 12.66076923
 12.8        11.99384615 12.27923077 12.01846154 10.31461538  9.31846154
 10.75230769 12.65384615 13.23769231 11.00769231  7.41461538  7.39153846
  8.57307692 11.19230769 15.71846154 15.54076923 13.38923077 11.05384615
  9.67692308 12.09230769 13.37692308  8.97615385]";8.893461538461537;13.807777777777778;"[-0.05560721 -0.05558101 -0.05558846 ... -0.0555613  -0.05555409
 -0.0555524 ]";-57.234932047432046;-54.83605396448224;[0. 0. 0. ... 0. 0. 0.];"[7.69230769 0.         7.69230769 0.         0.         0.
 0.         0.         7.69230769 0.         0.         0.
 0.         0.         7.69230769 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         7.69230769 0.        ]";1.5400015400015403;0.7696155770192789;4.914316239316241;2.398878082949807;-0.7703859629822615
18;SC915_1;EXC;9;"[ 8.99494335 10.22944856  9.46770684  5.62184257  2.16416682  1.60589585
  2.28261577  2.77975428  4.99119842  9.74855024 17.93875342 22.35164016
 14.30298566  6.74010045  9.33416153  9.81141694  8.1066253   8.01641351
  9.19946728 11.15850509 13.72762104 15.14601622 14.31613118 11.31261291
  9.2387305   9.73633858 10.69080264  9.8162954   9.58655007 10.83150629
 12.31116174 12.64944877 11.03272798  7.12868381  5.1316287   4.97459812
  6.59443896  8.01034668  9.61412326 11.41915038]";2.9148660805490256;11.755729361404606;"[-0.06074792 -0.06077778 -0.06077743 ... -0.05799826 -0.05798646
 -0.0579809 ]";-60.01961475364253;-54.213224146795625;[0. 0. 0. ... 0. 0. 0.];"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]";0.0;0.0;8.840863280855581;5.806390606846904;0.0
19;SC916_1;EXC;41;"[14.19317518 11.10940045  8.63658044  6.76539201  6.45512986  7.80103525
  9.83698848 12.21271254 16.63512713 21.8928627  26.90765877 29.19647307
 23.76002985 16.25855663 17.42253438 20.6839618  21.16096856 19.31011291
 17.42593097 15.98969226 16.21247577 19.17302728 22.53779759 24.39235574
 22.94399877 18.83698309 14.16399599 11.92893049 12.72534415 13.96343128
 14.74424765 15.82672464 16.93191847 17.0461917  17.05599444 16.26118904
 14.3926536  12.24111751 12.26024211 13.59373056]";11.621465848131873;21.34735854858718;"[-0.05967931 -0.05968192 -0.05967339 ... -0.0520508  -0.05205411
 -0.05204598]";-62.18754006022619;-51.81698198295347;[0. 0. 0. ... 0. 0. 0.];"[ 2.43902439  4.87804878  2.43902439  0.          4.87804878  0.
  0.          0.          2.43902439  4.87804878  0.          0.
  2.43902439 29.26829268 21.95121951 24.3902439  24.3902439  17.07317073
  7.31707317 19.51219512 19.51219512 12.19512195  2.43902439  7.31707317
 19.51219512 14.63414634 12.19512195 17.07317073 12.19512195 14.63414634
  7.31707317  9.75609756 12.19512195 12.19512195  9.75609756  7.31707317
 12.19512195  9.75609756 12.19512195  7.31707317]";1.4648795136600017;14.641467075000916;9.725892700455308;10.370558077272719;13.176587561340915
20;SC917_1;EXC;26;"[ 6.07273764  6.02666353  6.59966589  7.25227022  8.02674067  8.21363966
  8.51539393  7.49880965  7.97723965 11.07778427 16.66296106 20.48767971
 17.16283273 12.57252434 12.9136662  15.37397922 17.96858482 18.94937723
 18.1390389  16.56356588 14.36646188 14.32450494 15.82966744 16.58519101
 15.84305383 15.09042719 13.86717185 13.18156955 13.74019319 14.00848445
 12.72824092 12.64215472 13.79189308 14.66434548 14.97657315 15.66726751
 14.58853853 13.18607176 12.8385604  14.5941033 ]";8.05127072050021;16.692293800737097;"[-0.06961142 -0.06960216 -0.06959808 ... -0.06270998 -0.06270841
 -0.06270986]";-70.10930172961423;-57.94048610843883;[0. 0. 0. ... 0. 0. 0.];"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         3.84615385
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]";0.0;0.0;8.641023080236888;12.168815621175398;0.0
21;SC918_1;EXC;44;"[19.69491961 20.09582276 19.2425579  17.74950386 16.02225956 15.45682921
 15.28935728 16.78235389 19.39369314 22.84420696 25.02986658 26.33718076
 23.64547552 17.43263042 15.05754214 16.43849302 19.86582722 22.18299626
 21.08412419 18.9491085  18.06088876 19.1861014  21.2477956  22.43686782
 21.9028197  19.88282707 17.30571645 16.75178817 16.37747089 17.48730373
 19.72598587 21.35235058 21.24857873 21.02574442 20.88066891 20.39385755
 19.01320285 19.47791793 21.51381707 21.9672277 ]";16.730558379400858;20.78601512261111;"[-0.05829815 -0.05829148 -0.05827848 ... -0.05860959 -0.05861349
 -0.05861087]";-57.00805264787704;-57.10105727579699;[0. 0. 0. ... 0. 0. 0.];"[6.81818182 0.         0.         0.         2.27272727 0.
 0.         0.         2.27272727 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         2.27272727 0.         0.
 0.         0.         0.         0.        ]";0.455000455000455;0.0;4.055456743210254;-0.09300462791995301;-0.455000455000455
22;SC919_1;EXC;25;"[11.95284614 13.79289662 16.60750637 18.04248351 17.99311759 16.6670348
 14.0271856  11.20736761 11.47550916 15.77880631 21.52847455 25.86746594
 22.86483762 15.41403755 14.25573123 16.04615138 16.47272936 16.42108195
 16.07956377 16.91548296 19.10610068 19.82018283 19.64046647 18.56809122
 16.80843133 15.60192842 15.82307013 17.23958698 17.09627373 15.15860635
 14.02476009 13.73464911 12.84831358 13.48997928 14.78571897 15.82555179
 16.85062636 17.30602588 17.23608644 16.78112628]";13.344274293804165;18.327785927115542;"[-0.0588395  -0.058841   -0.05883037 ... -0.05833363 -0.05831812
 -0.05832913]";-59.28948923923923;-58.080841108054024;[0. 0. 0. ... 0. 0. 0.];"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]";0.0;0.0;4.983511633311377;1.2086481311852069;0.0
23;SC923_1;EXC;35;"[13.18032544 12.91253939 12.45031767 11.25107605  9.97836363 10.44426907
 10.82222226 11.5677263  13.08767644 16.52853581 20.45248277 22.75616879
 19.5438452  16.05827973 17.31740447 19.2808688  18.61440814 16.88065865
 16.96433744 17.99545271 19.10705513 19.81296432 19.43591152 18.05293708
 17.10053244 16.99853396 16.72697724 15.21893308 15.15044438 14.90891019
 14.21918367 15.33848601 16.13343927 16.28252663 16.44717234 16.10434351
 15.22551791 13.73838631 12.57469553 12.73497424]";11.480473517281666;18.652050444103416;"[-0.05355938 -0.05356058 -0.05356418 ... -0.04873461 -0.04872535
 -0.04871359]";-52.2988634103612;-49.08218858925738;[0. 0. 0. ... 0. 0. 0.];"[ 2.85714286 11.42857143  8.57142857  5.71428571  8.57142857  5.71428571
  5.71428571  2.85714286  5.71428571  8.57142857 14.28571429  2.85714286
  5.71428571  5.71428571 14.28571429 17.14285714  2.85714286  8.57142857
 20.         14.28571429 17.14285714 17.14285714 11.42857143 17.14285714
  5.71428571  8.57142857 14.28571429 14.28571429  5.71428571  2.85714286
 14.28571429 17.14285714  2.85714286 11.42857143  5.71428571  8.57142857
  2.85714286 11.42857143 11.42857143  8.57142857]";5.7200057200057195;10.57671692989352;7.17157692682175;3.2166748211038225;4.8567112098878
